title,price,rating,cleaned_title,cleaned_rating,numeric_rating,sentiment,cluster
A Light in the Attic,Â£51.77,3,a light in the attic,3,3,neutral,1
Tipping the Velvet,Â£53.74,1,tipping the velvet,1,1,negative,1
Soumission,Â£50.10,1,soumission,1,1,negative,1
Sharp Objects,Â£47.82,4,sharp objects,4,4,positive,1
Sapiens: A Brief History of Humankind,Â£54.23,5,sapiens a brief history of humankind,5,5,positive,1
The Requiem Red,Â£22.65,1,the requiem red,1,1,negative,1
The Dirty Little Secrets of Getting Your Dream Job,Â£33.34,4,the dirty little secrets of getting your dream job,4,4,positive,1
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â£17.93,3,the coming woman a novel based on the life of the infamous feminist victoria woodhull,3,3,neutral,2
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â£22.60,4,the boys in the boat nine americans and their epic quest for gold at the berlin olympics,4,4,positive,1
The Black Maria,Â£52.15,1,the black maria,1,1,negative,1
"Starving Hearts (Triangular Trade Trilogy, #1)",Â£13.99,2,starving hearts triangular trade trilogy,2,2,negative,1
Shakespeare's Sonnets,Â£20.66,4,shakespeares sonnets,4,4,positive,1
Set Me Free,Â£17.46,5,set me free,5,5,positive,1
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â£52.29,5,scott pilgrims precious little life scott pilgrim,5,5,positive,2
Rip it Up and Start Again,Â£35.02,5,rip it up and start again,5,5,positive,1
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â£57.25,3,our band could be your life scenes from the american indie underground,3,3,neutral,2
Olio,Â£23.88,1,olio,1,1,negative,1
Mesaerion: The Best Science Fiction Stories 1800-1849,Â£37.59,1,mesaerion the best science fiction stories,1,1,negative,1
Libertarianism for Beginners,Â£51.33,2,libertarianism for beginners,2,2,negative,1
It's Only the Himalayas,Â£45.17,2,its only the himalayas,2,2,negative,1
In Her Wake,Â£12.84,1,in her wake,1,1,negative,1
How Music Works,Â£37.32,2,how music works,2,2,negative,1
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Â£30.52,3,foolproof preserving a guide to small batch jams jellies pickles condiments and more a foolproof guide to making small batch jams jellies pickles condiments and more,3,3,neutral,1
Chase Me (Paris Nights #2),Â£25.27,5,chase me paris nights,5,5,positive,1
Black Dust,Â£34.53,5,black dust,5,5,positive,1
Birdsong: A Story in Pictures,Â£54.64,3,birdsong a story in pictures,3,3,neutral,1
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Â£22.50,3,americas cradle of quarterbacks western pennsylvanias football factory from johnny unitas to joe montana,3,3,neutral,1
Aladdin and His Wonderful Lamp,Â£53.13,3,aladdin and his wonderful lamp,3,3,neutral,1
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Â£40.30,5,worlds elsewhere journeys around shakespeareas globe,5,5,positive,1
Wall and Piece,Â£44.18,4,wall and piece,4,4,positive,1
The Four Agreements: A Practical Guide to Personal Freedom,Â£17.66,5,the four agreements a practical guide to personal freedom,5,5,positive,1
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Â£31.05,3,the five love languages how to express heartfelt commitment to your mate,3,3,neutral,1
The Elephant Tree,Â£23.82,5,the elephant tree,5,5,positive,1
The Bear and the Piano,Â£36.89,1,the bear and the piano,1,1,negative,1
Sophie's World,Â£15.94,5,sophies world,5,5,positive,1
Penny Maybe,Â£33.29,3,penny maybe,3,3,neutral,1
Maude (1883-1993):She Grew Up with the country,Â£18.02,2,maude she grew up with the country,2,2,negative,1
